7. 6464 Canoga Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPOSED APARTMENT PROJECT – SPACE ALLOCATION ANALYSIS (BASED ON USER DESIGN INPUT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross building area (GBA) & gross floor area (GFA) analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. 5240 Lankershim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPOSED APARTMENT PROJECT – SPACE ALLOCATION ANALYSIS (BASED ON USER DESIGN INPUT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross building area (GBA) & gross floor area (GFA) analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proposal property type,,,,,Apartment,,,,The proposal property type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Building construction type,,,,,4.Type III/I,,,,"The building’s structural material and fire-resistance classification (e.g., Type V – wood, Type III – mixed, Type I – concrete/steel)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lot Size (GSF),,,,,"29,639",,SF,,Lot Size / Parcel Area / Plot Area : The total land parcel area for the existing office site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FAR,,,,,4.36,,,,The ratio of Gross Floor Area (GFA) to Lot Size for the proposed apartment project.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Floor Area (GFA),,,,,"119,217",,SF,,"The total usable floor area that counts toward zoning FAR, excluding shafts, mechanical/electrical rooms, & other exempt spaces.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Building Area (GBA),,,,,"147,901",,SF,,"The total area of the proposed apartment measured to exterior walls, including all enclosed spaces before FAR exclusion (CBC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories,,,,,8,,,,The number of floors in the existing office.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Typical floor plate area (GSF),,,,,"18,488",,SF,,"The gross area of one standard floor in the proposed apartment, representing a typical level footprint.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentable area,,,,,"101,243",,SF,,The portion of the proposed apartment building that can be leased or rented to tenants.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Building Area (GBA),,,,,"147,901",,SF,,"The total area of the proposed apartment measured to exterior walls, including all enclosed spaces before FAR exclusions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net-to-Gross ratio,,,,,68.50%,,,,"The efficiency ratio of the proposed apartment, calculated as Rentable Area ÷ Gross Building Area (GBA).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Area,,,,,,,,% GBA,,,Building Area,,,Floor Area,,,GSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dwelling Units,,,,,,,,65.10%,,,"96,243 SF",,,"96,243 SF",,,"96,243 SF",,,,,,,,,,,,,,,65.10%,,,,,,,,,,,,,,,,,,,
,Retail,,,,,,,,3.40%,,,"5,000 SF",,,"5,000 SF",,,"5,000 SF",,,,,,,,,,,,,,,3.40%,,,,,,,,,,,,,,,,,,,
,Circulation,,,,,,,,8.80%,,,"12,998 SF",,,"10,970 SF",,,"13,976 SF",,,,,,,,,,,,,,,8.80%,,,,,,,,,,,,,,,,,,,
,Support Areas,,,,,,,,4.20%,,,"6,248 SF",,,"4,473 SF",,,"6,365 SF",,,,,,,,,,,,,,,4.20%,,,,,,,,,,,,,,,,,,,
,Staff / Management,,,,,,,,0.60%,,,886 SF,,,826 SF,,,886 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenities – Indoor,,,,,,,,1.20%,,,"1,706 SF",,,"1,706 SF",,,"1,706 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenities – Outdoor,,,,,,,,0.00%,,,-,,,-,,,"4,391 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parking & Vehicle Access Areas,,,,,,,,12.30%,,,"18,250 SF",,,-,,,"26,771 SF",,,,,,,,,,,,,,,12.30%,,,,,,,,,,,,,,,,,,,
,Low Voltage,,,,,,,,0.30%,,,403 SF,,,-,,,403 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dry Utilities,,,,,,,,1.50%,,,"2,263 SF",,,-,,,"2,263 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Electrical,,,,,,,,1.10%,,,"1,627 SF",,,-,,,"1,627 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Mechanical,,,,,,,,0.00%,,,-,,,-,,,890 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Plumbing,,,,,,,,1.30%,,,"1,914 SF",,,-,,,"1,914 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Fire Sprinkler,,,,,,,,0.20%,,,364 SF,,,-,,,364 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,100%,,,"147,901 SF",,,"119,217 SF",,,"162,797 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Height and Story Distribution Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Building height type,,,,,3. High-Rise,,,,"The building height type for the proposed apartment (e.g., Low-Rise, Mid-Rise, High-Rise).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Above grade height,,,,,,75,FT,,The building height of the proposed apartment from ground level to roof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Building height - Below grade,,,,,,10,FT,,The building height of the proposed apartment from the lowest occupied basement floor to the ground level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total of building height,,,,,,85,FT,,The building height (above-grade and subterranean).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (Above Grade),,,,,,7,,,The number of above-ground floors in the new apartment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (Below Grade),,,,,,1,,,The number of underground or basement floors for parking in the new apartment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total of stories,,,,,,8,,,Total number of floors in the new apartment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (for dwelling units),,,,,,5.6,,,Floors used for residential dwelling units.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (for mix use),,,,,,1.1,,,Floors used for mixed-use spaces (support area + indoor amenities + management…),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (for parking),,,,,,1.3,,,Floors allocated for parking + spaces/rooms in basements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.30%,,,0.80%,,,,,,
,Total of stories,,,,,,8,,,Total number of floors in the new apartment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (podium parking),,,,,,0.3,,,Number of above-ground podium parking floors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (underground parking),,,,,,1,,,Number of underground or basement parking floors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories (for parking),,,,,,1.3,,,Floors allocated for parking + spaces/rooms in basements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parking & Vehicle Access Areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Surface parking stalls,,,,,27,Stall(s),,,Number of parking stalls located on ground level (open surface).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Podium parking stalls,,,,,11,Stall(s),,,Number of parking stalls located above ground within the building podium.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Underfround parking stalls,,,,,33,Stall(s),,,Number of parking stalls located below ground level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leased parking stalls,,,,,-,Stall(s),,,Number of parking stalls rented externally from other properties.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parking stall (req),,,,,71,Stall(s),,,Total number of parking stalls required by zoning or code.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Residential parking stall (req),,,,,64,Stall(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Retail parking stall (req),,,,,7,Stall(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parking stall (req),,,,,71,Stall(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EV parking stall,,,,,21,Stall(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard parking stall,,,,,50,Stall(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parking stall (req),,,,,71,Stall(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ref. parking code:,,,AB 2097: Within ½ mi of a “major transit stop”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unit,,,,,Qty,,Stalls/unit,,Req. Stalls,,,Parking & Vehicle Access Areas,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,
,Studio,,,,,23,,0.5,,11.5,,,Parking - Indoor,,,,,,TRUE,"17,600 SF",,,"17,600 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 Bedroom,,,,,66,,0.5,,33,,,Parking - Surface Lot,,,,,,TRUE,"8,521 SF",,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,2 Bedroom,,,,,39,,0.5,,19.5,,,Loading Dock,,,,,,TRUE,250 SF,,,250 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Bedroom,,,,,0,,0.5,,0,,,Temp Loading Zone / Ride-share,,,,,,TRUE,400 SF,,,400 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,Residential parking stall (required),,,,,,,,,64,,,Total,,,,,,,"26,771 SF",,,"18,250 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Is affordable project?,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Has W/D in dwelling unit?,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type of Residential Unit,,,,,2. Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of bedroom,,,,,144,,Bedroom(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of dwelling unit,,,,,128,,Unit(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of res. occupants,,,,,337,,People(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of dwelling unit/floor,,,,,23,,DU/Floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dwelling unit,,,Qty of unit,,Bedrooms,,People/Unit,,Occupants,,% Occupant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Studio,,,23,,0,,2,,46,,13.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 Bedroom,,,66,,66,,2,,132,,39.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2 Bedroom,,,39,,78,,4,,156,,46.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Bedroom,,,0,,0,,6,,0,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,128,,144,,,,334,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dwelling units,,,,,,,,Has?,% SF,,,NSF,,,Unit Count,,,Room Size,,,Width,,,Depth,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Studio + 1 Bath (Typical),,,,,,,,TRUE,11.30%,,,"10,862 SF",,,23,,,472 SF,,,17.2 FT,,,27.4 FT,,,,,,,18.00%,11.30%,,,,,,,,,,,,,,,,,,,
,1 Bedroom + 1 Bath (Typical),,,,,,,,TRUE,43.80%,,,"42,168 SF",,,66,,,639 SF,,,23.5 FT,,,27.2 FT,,,,,,,51.60%,43.80%,,,,,,,,,,,,,,,,,,,
,2 Bedroom + 2 Bath (Typical),,,,,,,,TRUE,44.90%,,,"43,214 SF",,,39,,,"1,108 SF",,,38.4 FT,,,28.9 FT,,,,,,,30.50%,44.90%,,,,,,,,,,,,,,,,,,,
,2 Bedroom + 1 Bath,,,,,,,,TRUE,-,,,-,,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2 Bedroom + 2 Bath + Powder,,,,,,,,TRUE,-,,,-,,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Bedroom + 2 Bath,,,,,,,,TRUE,-,,,-,,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Bedroom + 2 Bath + Powder,,,,,,,,TRUE,-,,,-,,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,100%,,,"96,243 SF",,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Residential corridor width,,,,,60,,IN,,The clear width of the residential corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vestibule - Stair SF/FL,,,,,122,,SF/floor,,The net floor area of stair vestibules on a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elevator -Passenger SF/floor,,,,,125,,SF/floor,,The net floor area occupied by passenger elevator shafts on a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elevator - Freight SF/floor,,,,,-,,SF/floor,,The net floor area occupied by freight elevator shafts in a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stair SF/floor,,,,,258,,SF/floor,,The net floor area occupied by stair shafts in a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of Elevator - Passenger,,,,,2,,,,The total number of passenger elevators in a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of Elevator - Freight,,,,,-,,,,The total number of freight elevators in a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of Stair,,,,,3,,,,The total number of stairs in a typical floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Circulation,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Corridor - Residential,,,,,,,,TRUE,"8,768 SF",,,"8,768 SF",,,"8,768 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.50%
,Vestibule - Elevator Lobby,,,,,,,,TRUE,"1,223 SF",,,"1,223 SF",,,"1,223 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.40%
,Vestibule - Stair,,,,,,,,TRUE,978 SF,,,978 SF,,,978 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.50%
,Vestibule - Entry Wind Lobby,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shaft - Elevator - Passenger,,,,,,,,TRUE,978 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shaft - Elevator - Freight,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shaft - Stair,,,,,,,,TRUE,"2,028 SF",,,"2,028 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.60%
,Wheelchair Lift,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"13,976 SF",,,"12,998 SF",,,"10,970 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support Areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Has trash chute?,,,,,,,,TRUE,Indicates whether the apartment building design includes vertical trash chute system for waste disposal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of bicycle repair area,,,,,1,,,,Number of designated bicycle repair areas provided within the project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bicycle parking - short term,,,,,7,,Stall(s),,Number of short-term bicycle parking spaces located near building entrances for visitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bicycle parking - long term,,,,,64,,Stall(s),,Number of long-term bicycle parking spaces in secure or covered areas for residents or staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of W&D in com. laundry rm.,,,,,13,,W&D,,Number of washer and dryer units installed in the common laundry room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parcel locker comp. (req),,,,,26,,locker(s),,Number of required parcel locker compartments provided for package deliveries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tenant modules,,,,,13,,module(s),,Number of tenant-specific modular spaces or functional units included in the project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of storage - General,,,,,2,,,,Number of general or maintenance storage rooms allocated within the building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of storage - Janitor's closet,,,,,4,,,,Number of janitorial storage closets provided for cleaning supplies and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of cold storage delivery rm.,,,,,1,,,,Number of cold storage delivery rooms available for perishable goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of storage Room - Parcel,,,,,1,,,,Number of parcel storage rooms designated for holding delivered packages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Support Areas,,,,,,,,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bicycle Repair Area,,,,,,,,TRUE,102 SF,,,102 SF,,,102 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bicycle Room,,,,,,,,TRUE,"1,775 SF",,,"1,775 SF",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28%
,Common Laundry Room,,,,,,,,TRUE,504 SF,,,504 SF,,,504 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%
,Elevator Machine Rm. (Interior),,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elevator Machine Rm (Roof),,,,,,,,TRUE,117 SF,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entry Lobby,,,,,,,,TRUE,"1,565 SF",,,"1,565 SF",,,"1,565 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%
,Mail Room / Mail Area,,,,,,,,TRUE,231 SF,,,231 SF,,,231 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%
,Storage Rm.- General,,,,,,,,TRUE,204 SF,,,204 SF,,,204 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%
,Storage Rm.- Janitor's Closet,,,,,,,,TRUE,147 SF,,,147 SF,,,147 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Storage Rm. - Cold Storage Delivery Rm.,,,,,,,,TRUE,102 SF,,,102 SF,,,102 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Storage Rm. - Parcels,,,,,,,,TRUE,102 SF,,,102 SF,,,102 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trash - Trash room at res. Floor (Typ.),,,,,,,,TRUE,706 SF,,,706 SF,,,706 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11%
,Trash - Trash vestibules at res. floors (Typ.),,,,,,,,TRUE,544 SF,,,544 SF,,,544 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9%
,Trash - Recycling room,,,,,,,,TRUE,145 SF,,,145 SF,,,145 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trash - Compactor room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trash - Compost room,,,,,,,,TRUE,121 SF,,,121 SF,,,121 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,"6,365 SF",,,"6,248 SF",,,"4,473 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff / Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of leasing office,,,,,1,,,,Number of leasing office room provided for tenent services and leasing operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of manager's office,,,,,1,,,,Number of manager's office rooms designated for on-site building management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of cameras,,,,,34,,,,Number of security cameras installed within the project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qty of staff lockers & showers,,,,,3,,,,Number of locker and shower facilities provided for building staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staff / Management,,,,,,,Color,Has?,GSF,,,Building Area,,,Floor Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leasing Office,,,,,,,,TRUE,102 SF,,,102 SF,,,102 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12%
,Manager's Office,,,,,,,,TRUE,102 SF,,,102 SF,,,102 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12%
,Parking Control Room,,,,,,,,FALSE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CCTV / IT / Security Equipment rm,,,,,,,,TRUE,60 SF,,,60 SF,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%
,Staff Break Room,,,,,,,,TRUE,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staff Lockers & Showers,,,,,,,,TRUE,559 SF,,,559 SF,,,559 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63%
,Staff Restroom,,,,,,,,TRUE,62 SF,,,62 SF,,,62 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%
,Total,,,,,,,,,886 SF,,,886 SF,,,826 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open space analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirement:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Common open space (req),,,,,"5,166 SF",,,,The total area of shared outdoor or indoor open space required by LAMC for all residents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Private open space,,,,,"6,400 SF",,,,"The total area of balconies, patios, or other open spaces reserved for the exclusive use of individual dwelling units",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Open Space (req),,,,,"10,331 SF",,,,The minimum open space area mandated by the LAMC for the project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
